SKILL_20150317_000001	Атака	
SKILL_20150317_000896	[Mallet Wyvern Card] Magic Non-Property Strike
SKILL_20150317_000897	[Moyabruka Card] Physical Non-Property Strike
SKILL_20150317_000898	[Colimencia Card] Physical Water Property Strike
SKILL_20150317_000899	[Rajapearl Card] Magic Water Property Strike
SKILL_20150317_000900	[Mushwort Card] Magic Poison Property Magic
SKILL_20150317_000901	[Lepus Card] Physical Water Property Pierce
SKILL_20150317_000902	[Sparnas Card] Physical Lightning Property Magic
SKILL_20150317_000903	[Cactusvel Card] Physical Poison Property Magic
SKILL_20150317_000904	[Throw] Physical Non-Property Strike
SKILL_20150317_000905	[Velorchard Card] Magic Poison Property Magic
SKILL_20150317_000906	[Luropus Card] Physical Non-Property Pierce
SKILL_20150317_000907	[Dionia Card] Magic Non-Property Magic
SKILL_20150317_000908	[Gazing Golem Card] Physical Fire Property Strike
SKILL_20150317_000909	[Summon Leaves] Non-Property Magic
SKILL_20150317_000910	[Hydra Card] Physical Water Property Magic
SKILL_20150317_000911	[Moa Card] Physical Non-Property Strike
SKILL_20150317_000912	[Jack O'Lantern Card] Magic Fire Property Pierce
SKILL_20150317_000913	[Manticen Card] Physical Non-Property Magic
SKILL_20150317_000914	[Mineloader Card] Physical Lightning Property Magic
SKILL_20150317_000915	[Grinender Card] Magic Fire Property Magic
SKILL_20150317_000916	[Helgasercle Card] Physical Dark Property Slash
SKILL_20150317_000917	[Yekub Card] Magic Dark Property Strike
SKILL_20150317_000918	[Physical Shield] Non-Property Magic
SKILL_20150317_000919	[Sparnasman Card] Physical Non-Property Magic
SKILL_20150317_000920	Thrust{nl}{Выпад}
SKILL_20150317_000921	{#DD5500}{ol}[Физический] - [Колющий]{/}{/}{nl}Протыкает и отталкивает назад врага.
SKILL_20150317_000922	Атака #{SkillAtkAdd}#{nl}Режущая #{SkillSR}#
SKILL_20150317_000923	Bash{nl}{Удар}
SKILL_20150317_000924	{#DD5500}{ol}[Физический] - [Режущий]{/}{/}{nl}Наносит удар с размаху.
SKILL_20150317_000925	Gung Ho{nl}{Клич}
SKILL_20150317_000926	Повышает вашу атаку, но уменьшает вашу защиту.
SKILL_20150317_000927	Физический урон + #{CaptionRatio}#{nl}Физическая защита - #{CaptionRatio2}# {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_000928	Concentrate{nl}{Концентрация}
SKILL_20150317_000929	Увеличивает урон от умений.
SKILL_20150317_000930	Дополнительный Урон + #{CaptionRatio2}#{nl}Атака#{CaptionRatio}# times {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_000931	Restrain{nl}{Сдерживание}
SKILL_20150317_000932	Уменьшает очки жизни, но повышает вашу атаку. 
SKILL_20150317_000933	Физическая Атака + #{CaptionRatio}#{nl}Максимум HP - #{CaptionRatio2}# {nl} Длительность #{CaptionTime}# секунд
SKILL_20150317_000934	Umbo Blow{nl}{Удар Острием}
SKILL_20150317_000935	{#DD5500}{ol}[Физический] - [Удар]{/}{/}{nl}Совершает круговой удар щитом. {nl} После успешной блокировки умение наносит повышенный урон.
SKILL_20150317_000936	Rim Blow{nl}{Удар Ободом}
SKILL_20150317_000937	{#DD5500}{ol}[Физический] - [Пробивание]{/}{/}{nl}Совершает удар щитом. {nl} Наносит дополнительный урон если цель заморожена или окаменела.
SKILL_20150317_000938	Swash Buckling{nl}{Бесстрашный}
SKILL_20150317_000939	Провоцирует врагов атаковать Пельтасту совершив удар по щиту.
SKILL_20150317_000940	Цель #{SkillSR}#{nl}Макс. провоцирование +#{CaptionRatio}# на #{CaptionTime}# секунд.
SKILL_20150317_000941	Уменьшает атаку и увеличивает защиту.
SKILL_20150317_000942	Физическая Защита + #{CaptionRatio}#{nl}Физический Урон - #{CaptionRatio2}# {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_000943	Shield Lob
SKILL_20150317_000944	{#DD5500}{ol}[Физическая] - [Пробивание]{/}{/}{nl} После недолгой подготовки бросает свой щит в указанную область нанося урон врагу. Поле броска нужно подобрать свой щит.
SKILL_20150317_000945	High Guard 
SKILL_20150317_000946	Butterfly
SKILL_20150317_000947	Wagon Wheel
SKILL_20150317_000948	{#DD5500}{ol}[Физический] - [Режущий]{/}{/}{nl} Наносит удар снизу отбрасывая врагов.
SKILL_20150317_000949	Cartar Stroke
SKILL_20150317_000950	{#DD5500}{ol}[Физический] - [Пробивание]{/}{/}{nl}Собрав силы бьет по земле атакуя врагов.
SKILL_20150317_000951	Атака #{SkillAtkAdd}#{nl}Время подготовки 0.5 секунд{nl}Всплеск #{SkillSR}#
SKILL_20150317_000952	Crown
SKILL_20150317_000953	{#DD5500}{ol}[Физичский] - [Пробивание]{/}{/}{nl}Бьет врага по голове. Временно уменьшает INT и SPR цели.
SKILL_20150317_000954	Атака #{SkillAtkAdd}#{nl}Всплеск #{SkillSR}#{nl}{#339999}{ol}[Shock]{/}{/} Длительность #{CaptionTime}# секунд.
SKILL_20150317_000955	Cross Guard
SKILL_20150317_000956	Встает в защитную стойку используя оружие.
SKILL_20150317_000957	Защита + #{CaptionRatio}#{nl}Блок + #{CaptionRatio2}#
SKILL_20150317_000958	Moulinet
SKILL_20150317_000959	{#DD5500}{ol}[Физический] - [Режущий]{/}{/}{nl}Атакует противника непрерывно 5 раз.
SKILL_20150317_000960	Piercebing
SKILL_20150317_000961	{#DD5500}{ol}[Физический] - [Пронзающий]{/}{/}{nl}Протыкающие удары копьем.
SKILL_20150317_000962	Pierce
SKILL_20150317_000963	{#DD5500}{ol}[Физический] - [Колющая]{/}{/}{nl}Сильно колет врага.  {nl}Длительность бонуса атаки зависит от размера врага.
SKILL_20150317_000964	Атака #{SkillAtkAdd}#{nl}2 Атаки по цели среднего размера{nl}3 Атаки по цели большого размера
SKILL_20150317_000965	Finestra
SKILL_20150317_000966	Принимает стойку для проведения атаки. {Nl}Увеличивает критичнось снижая уклонение.
SKILL_20150317_000967	Критический + #{CaptionRatio}#{nl}Уклонение - #{CaptionRatio2}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_000968	Synchro Thrusting
SKILL_20150317_000969	{#DD5500}{ol}[Физический] - [Пронзающий] - [Пробивающий]{/}{/}{nl}Атакует цель обдновременно используя Щит и Копьё
SKILL_20150317_000970	Атака Копьем #{SkillAtkAdd}#{nl}Атака Щитом #{CaptionRatio}#{nl}Всплеск #{SkillSR}#
SKILL_20150317_000971	Long Stride
SKILL_20150317_000972	{#DD5500}{ol}[Физический] - [Пронзающий]{/}{/}{nl}Совершает прыжок в указанную область нанося всем в радиусе приземления урон. Размер урона зависит от времени подготовки прыжка.
SKILL_20150317_000973	Throwing Spear
SKILL_20150317_000974	Shield Charge
SKILL_20150317_000975	{#DD5500}{ol}[Физический] - [Пробивающий]{/}{/}{nl} Бег с щитом, наносит урон врагам находящимся на пути. При этом скорость передвижения снижается.
SKILL_20150317_000976	Атака #{SkillAtkAdd}#{nl}Макс. Длительность 10 секунд{nl}Потребляет STA
SKILL_20150317_000977	Montano
SKILL_20150317_000978	{#DD5500}{ol}[Физический] - [Режущий]{/}{/}{nl}Атакует нижнюю часть тела врага и отбрасывает его. Есть шанс оглушить цель на 7 секунд.
SKILL_20150317_000979	Атака #{SkillAtkAdd}#{nl}{#339999}{ol}[Оглушение]{/}{/} Длительность 7 секунд.
SKILL_20150317_000980	Targe Smash
SKILL_20150317_000981	{#DD5500}{ol}[Физический] - [Прбивающий]{/}{/}{nl} Сильно ударяет щитом об землю поднимая пыль в воздух. Есть шанс ослепить цель на 3 секунды.
SKILL_20150317_000982	Атака #{SkillAtkAdd}#{nl}{#339999}{ol}[Dark]{/}{/} Длительность 3 секунд{nl}Всплеск #{SkillSR}#
SKILL_20150317_000983	Shield Push
SKILL_20150317_000984	{#DD5500}{ol}[Физический] - [Пробивающий]{/}{/}{nl}Оттолкнуть цель щитом.{nl} Цель в течении 5 секунд будет в неуравновешенном состояние.
SKILL_20150317_000985	Атака #{SkillAtkAdd}#{nl}{#339999}{ol}[Unbalanced]{/}{/} Длительность 5 секунд
SKILL_20150317_000986	Impaler Кол/ Заказлыватель/ Кольщик/Цепеш
SKILL_20150317_000987	{#DD5500}{ol}[Пронзающий]{/}{/}{nl} I go to plug through the small monsters in the window. If you use the skill to take down to the ground after you plug in the window will increase.
SKILL_20150317_000988	Earth Wave
SKILL_20150317_000989	{#DDD300}{ol}[Пробивающий]{/}{/}{nl}Совершает мощный удар по цели сотрясая землю. Мощность урона зависит от времени подготовки.
SKILL_20150317_000990	Trot
SKILL_20150317_000991	Скорость передвижения увеличится
SKILL_20150317_000992	Скорость передвижения +#{CaptionRatio}#%{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_000993	Stead Charge
SKILL_20150317_000994	{#DDD300}{ol}[Дробящий]{/}{/}{nl}Мчится вперед и отталкивает врага.
SKILL_20150317_000995	Doom Spike
SKILL_20150317_000996	{#DDD300}{ol}[Дробящий]{/}{/}{nl}Концетрируется и пронзает противника.
SKILL_20150317_000997	Rush
SKILL_20150317_000998	{#DD5500}{ol}[Режущий]{/}{/}{nl}Наносит урон противникам перед собой, вращая копье над головой.
SKILL_20150317_000999	Атака #{SkillAtkAdd}#{nl}Макс. Длительность 10 секунд{nl}Всплеск #{SkillSR}#
SKILL_20150317_001000	Dragging Death
SKILL_20150317_001001	{#DDD300}{ol}[Колющая]{/}{/}{nl}Атакует врагов перед собой.
SKILL_20150317_001002	Embowel
SKILL_20150317_001003	{#DD5500}{ol}[Колющая]{/}{/}{nl} Бьет врага после сильного укола.
SKILL_20150317_001004	Frenzy
SKILL_20150317_001005	Постоянное использование обычной атаки временно увеличит ATK.
SKILL_20150317_001006	Attack: +#{CaptionRatio}#{nl}Maximum Stacks: #{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001007	Aggressor
SKILL_20150317_001008	У атак повышенная точность, но шанс нанести критический урон и уклониться от критического урона снижен.
SKILL_20150317_001009	Критический Шанс -#{CaptionRatio}#%{nl}Критический уворот -#{CaptionRatio}#%{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001010	Savagery
SKILL_20150317_001011	В то время как положительный эффект активирован, дополнительная бонус  {#DD5500}{ol}[Sting]{/}{/} к атаке.
SKILL_20150317_001012	{#DD5500}{ol}[Колющая]{/}{/} Batter Bonus {nl} Длительность #{CaptionTime}#сек.
SKILL_20150317_001013	Warcry
SKILL_20150317_001014	Уменьшает защиту целей поблизости и добавляет ее к вашей атаке.
SKILL_20150317_001015	Цель #{CaptionRatio}#player{nl} Макс. Физическая защита - #{CaptionRatio2}# {nl}Длительность #{CaptionTime}#секунд
SKILL_20150317_001016	Stomping Kick {nl}[Топот]
SKILL_20150317_001017	{#DD5500}{ol}[Strike]{/}{/}{nl} После прыжка приземляясь атакует врага.
SKILL_20150317_001018	Обслуживание оружия
SKILL_20150317_001019	Открыть магазин для починки оружия.
SKILL_20150317_001020	Обслуживание брони
SKILL_20150317_001021	Открыть магазин для починки брони.
SKILL_20150317_001022	Починить
SKILL_20150317_001023	Используйте щит что бы оттолкнуть и прервать противника.
SKILL_20150317_001024	Arrest
SKILL_20150317_001025	Jolly Roger
SKILL_20150317_001026	Iron Hook
SKILL_20150317_001027	Keel Hauling
SKILL_20150317_001028	Unlock Chest
SKILL_20150317_001029	Cancel Sub Weapon
SKILL_20150317_001030	{#DDD300}{ol}[Buff]{/}{/}{nl}Получаете дополнительную атаку {#CC3300}{ol}[Sting]{/}{/}когда заклинание активно.
SKILL_20150317_001031	Длительность #{CaptionTime}# секунд{nl}Потребляет #{SpendSP}# SP
SKILL_20150317_001032	Conscript
SKILL_20150317_001033	Phalanx
SKILL_20150317_001034	Tercio
SKILL_20150317_001035	Winged Formation
SKILL_20150317_001036	Wedge Formation
SKILL_20150317_001037	Schiltron Formation
SKILL_20150317_001038	Testudo
SKILL_20150317_001039	Skirmisher
SKILL_20150317_001040	Изменить Направление
SKILL_20150317_001041	Деяния отваги
SKILL_20150317_001042	Увеличивает скорость атаки,уменьшает защиту.
SKILL_20150317_001043	Pain Barrier
SKILL_20150317_001044	Скорость передвижения +#{CaptionTime}# на #{CaptionRatio}#% секунд.
SKILL_20150317_001045	Mordschlag
SKILL_20150317_001046	{#CC3300}{ol}[Колющая]{/}{/} Атрибут{nl}Урон #{SkillFactor}#%{nl}Всплеск #{SkillSR}#{nl} Потребляет SP #{SpendSP}#
SKILL_20150317_001047	Double Pay Earn
SKILL_20150317_001048	Three times of hit damage
SKILL_20150317_001049	Punish
SKILL_20150317_001050	Cyclone
SKILL_20150317_001051	Вращаясь атакует противников.
SKILL_20150317_001052	Ур.1 Атака Rate #{SkillFactor}#, Всплеск 3 Ур.2 Атака Rate #{SkillFactor}#, Всплеск 6 Ур.3 Атака Rate #{SkillFactor}#, Всплеск 9Ур.4 Атака Rate #{SkillFactor}#, Всплеск 12Ур.5 Атака Rate #{SkillFactor}#, Всплеск 15
SKILL_20150317_001053	Selfdestruct
SKILL_20150317_001054	Shadow Clone
SKILL_20150317_001055	Prepare for Атака
SKILL_20150317_001056	Murmillo 1
SKILL_20150317_001057	Murmillo 2
SKILL_20150317_001058	Защищая себя блокирует атаки врагов.
SKILL_20150317_001059	Buff Длительность #{CaptionTime}#sec{nl}#Paering Probability {CaptionRatio}#%
SKILL_20150317_001060	Удяряет врага плечом отталкивая его.
SKILL_20150317_001061	{#CC3300}{ol}[Strike]{/}{/} Аттрибут{nl} Атака #{SkillFactor}#%+#{SkillAtkAdd}#{nl}Всплеск #{SkillSR}#{nl} Потребляет  SP #{SpendSP}#
SKILL_20150317_001062	Увеличивает силу опрокидования
SKILL_20150317_001063	Использует цепь для захвата и раскручивания ближайшего врага.
SKILL_20150317_001064	Curse{nl}[Проклятие]
SKILL_20150317_001065	Energy Bolt{nl}[Энергетическая Стрела]
SKILL_20150317_001066	{#993399}{ol}[Магическая]{/}{/}{nl} После недолгой подготовки поражает врага энергетическим шаром.
SKILL_20150317_001067	Атака #{SkillAtkAdd}#{nl}Время чтения 1 секунда{nl}Всплеск #{SkillSR}#
SKILL_20150317_001068	Lethargy {nl}[Усталость]
SKILL_20150317_001069	После недолгой подготовки и указания цели заставляет врага чувствовать себя уставшим понижая характеристики.
SKILL_20150317_001070	Физическая атака - #{CaptionRatio}#{nl} Магическая Атака - #{CaptionRatio}#{nl} Уклонение - #{CaptionRatio2}#{nl} {#339999}{ol}[Lethargy]{/}{/}Длительность #{CaptionTime}# секунд
SKILL_20150317_001071	Sleep {nl}[Сон]
SKILL_20150317_001072	После недолгой подготовки и указания цели накладывает эффект Сон. Сон спадет если ударить цель, в противном случае эффект спадет после окончания времени.
SKILL_20150317_001073	{#339999}{ol}[Сон]{/}{/}Длительность #{SkillFactor}# секунд {nl}Атака limit #{CaptionRatio}# times
SKILL_20150317_001074	Reflect Shield{nl}[Отражающий Щит]
SKILL_20150317_001075	Накладывает магический щит отражающий урон.
SKILL_20150317_001076	Отражение урона #{CaptionRatio}#{nl}Длительность #{CaptionTime}# секунд {nl}Отражает #{CaptionRatio2}# времени
SKILL_20150317_001077	Earthquake
SKILL_20150317_001078	{#993399}{ol}[Магическая] - [Земля]{/}{/}{nl}Создает эффект землетрясение которое поражает врагов.
SKILL_20150317_001079	Surespell
SKILL_20150317_001080	Накладывает эффект который гарантирует что следующее заклинание не может быть прерванным.
SKILL_20150317_001081	Длительность #{CaptionTime}# секунд
SKILL_20150317_001082	Magic Missile
SKILL_20150317_001083	{#993399}{ol}[Магическая]{/}{/}{nl} Поражает цель магическим снарядом.
SKILL_20150317_001084	Атака #{SkillAtkAdd}#{nl}3 Магических Снаряда
SKILL_20150317_001085	Quick Cast{nl}[Быстрое Чтение]
SKILL_20150317_001086	После использования снижает время подготовки всех последующих умений.
SKILL_20150317_001087	Скорость Умений - #{CaptionRatio}#% {nl} Длительность #{CaptionTime}# секунд.
SKILL_20150317_001088	Fireball {nl}[Огненный Шар]
SKILL_20150317_001089	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl} Вызывает огненный шар наносящий урон, шар можно передвигать нанося ему удары мечем.
SKILL_20150317_001090	Атака #{SkillAtkAdd}#{nl}Атака #{SkillSR}# times{nl}Длительность #{CaptionTime}# секунд.
SKILL_20150317_001091	Fire Wall {nl}[Стена Огня]
SKILL_20150317_001092	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl} Устанавливает в указанной области огненную стену. Все враги находящиеся рядом со стеной получают урон огнем."	
SKILL_20150317_001093	Атака #{SkillAtkAdd}#{nl}#{CaptionRatio}# Огненная Стена #{nl}Атакует #{CaptionRatio2}# времени{nl}Длительность 15 секунд
SKILL_20150317_001094	Enchant Fire{nl}[Зачарование Огнем]
SKILL_20150317_001095	Временно зачаровывает стихией огня ваше оружие, увеличивая урон. Данный эффект также распространяется на группу.
SKILL_20150317_001096	Добавляет Элемет огня + #{CaptionRatio}#{nl} Дополнительный Урон + #{CaptionRatio2}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001097	Flare{nl}[Пламя]
SKILL_20150317_001098	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl} Наносит урон огнем и поджигает цель нанося ей периодический урон. Исключением являются монстры замороженные или окаменевшие.
SKILL_20150317_001099	Атака #{SkillAtkAdd}#
SKILL_20150317_001100	Fire Pillar
SKILL_20150317_001101	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl}Создает в указанной области столб огня нанося урон врагам на протяжении времени действия.
SKILL_20150317_001102	Атака #{SkillAtkAdd}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001103	Hell Breath
SKILL_20150317_001104	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl} Персонаж призывает перед собой Адское Пламя наносящее урон огнём.
SKILL_20150317_001105	Атака #{SkillAtkAdd}#{nl}Consume #{CaptionRatio}#% SP per 0.5 секунд
SKILL_20150317_001106	Ice Bolt{nl}[Ледяная Стрела]
SKILL_20150317_001107	{#993399}{ol}[Магическая] - [Лёд] - [Колющая]{/}{/}{nl}Наносит удар льдом с шансом заморозить врага.
SKILL_20150317_001108	Атака #{SkillAtkAdd}#{nl}{#339999}{ol}[Заморозка]{/}{/} Длительность 3 секунды
SKILL_20150317_001109	Ice Pike{nl}[Ледяной Шип]
SKILL_20150317_001110	{#993399}{ol}[Магическая] - [Лёд] - [Колющая] {/} {/}} {nl}Создаёт Ледяную Волну наносящую урон + шанс заморозить противника.
SKILL_20150317_001111	Атака #{SkillAtkAdd}#{nl}{#339999}{ol}[Заморозка]{/}{/} Длительность 4 секунды
SKILL_20150317_001112	Возводит стену льда которая накладывает эффект замораживания врагов рядом с ней. 
SKILL_20150317_001113	Ice Wall #{CaptionRatio}# {nl}{#339999}{ol}[Лёд]{/}{/}{nl} Длительность 3 секунды {nl} Ice Wall Длительность 10 секунд
SKILL_20150317_001114	Ice Blast
SKILL_20150317_001115	{#993399}{ol}[Магическая] - [Лёд]{/}{/}{nl}Взрывает замороженных врагов.
SKILL_20150317_001116	{#339999}{ol}[Лёд]{/}{/}Target to Атака #{SkillAtkAdd}#
SKILL_20150317_001117	Создает ледяной барьер замораживающий врагов наносящих ему урон.
SKILL_20150317_001118	Enemies attacked {#339999}{ol}[Лёд]{/}{/}Коэффициент атаки 50% {nl} {#339999}{ol}[Лёд]{/}{/}Длительность 3 секунды
SKILL_20150317_001119	Gust
SKILL_20150317_001120	Создает мощный порыв ветра отбрасывающий врагов. Наносит урон замороженным врагам или соседней Стене из Льда. 
SKILL_20150317_001121	Frost Pillar
SKILL_20150317_001122	Призывает Ледяной столб притягивающий к себе находящихся рядом врагов.
SKILL_20150317_001123	{#339999}{ol}[Лёд]{/}{/}probability #{CaptionRatio}#% {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001124	Psychic Pressure{nl}[Психическое Давление]
SKILL_20150317_001125	{#993399}{ol}[Магическая]{/}{/}{nl}Наносит урон по цели впереди себя.
SKILL_20150317_001126	Атака #{SkillAtkAdd}#{nl}Всплеск #{CaptionRatio}#{nl}Потребляет #{CaptionRatio2}#%  SP в секунду.
SKILL_20150317_001127	Telekinesis{nl}[Телекинез]
SKILL_20150317_001128	{#993399}{ol}[Магическая]{/}{/}{nl}Заключает цель в сферу. {nl}Бросает цель в указанное направление и наносит урон.
SKILL_20150317_001129	Атака #{SkillAtkAdd}#{nl}Атака count #{CaptionRatio}# times {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001130	Swap
SKILL_20150317_001131	Меняет местами Психокинетика и цель.
SKILL_20150317_001132	Цель #{CaptionRatio}#{nl}Радиус действия 20 {nl}
SKILL_20150317_001133	Teleportation{nl}[Телепортация]
SKILL_20150317_001134	Переносит Психокинетика в случайное местоположение.
SKILL_20150317_001135	Радиус действия #{CaptionRatio}#
SKILL_20150317_001136	Magnetic Force{nl}[Притягивание]
SKILL_20150317_001137	{#993399}{ol}[Магическая]{/}{/}{nl}Стягивает врагов в указанную область.
SKILL_20150317_001138	Raise
SKILL_20150317_001139	Поднимает врагов вокруг себя в воздух.
SKILL_20150317_001140	Цель #{CaptionRatio}#{nl}Длительность #{CaptionRatio2}# секунд
SKILL_20150317_001141	Gravity Pole
SKILL_20150317_001142	Создаёт по прямой линии гравитационное поле и притягивает врагов.
SKILL_20150317_001143	Цель #{CaptionRatio}#{nl}Максимальная длительность 5 секунд
SKILL_20150317_001144	Unbind
SKILL_20150317_001145	Свобождается от всех заключенных связей.
SKILL_20150317_001146	Разрывает все связи {nl} Уровень 1 навыка
SKILL_20150317_001147	Physical Link{nl}[Физическая Связь]
SKILL_20150317_001148	Весь получаемый урон будет распределяться между связанными союзниками.
SKILL_20150317_001149	Чем больше связей тем меньше ущерб {nl} Всего связей #{CaptionRatio}#{nl}Длительность #{CaptionTime}# секунд{nl}Consuem 16% of Stamina
SKILL_20150317_001150	Joint Penalty
SKILL_20150317_001151	Связывает всех врагов. Связанные враги получают общий урон.
SKILL_20150317_001152	Всего связей #{SkillFactor}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001153	Hangman's Knot
SKILL_20150317_001154	Стягивает в одну точку всех связанных врагов.
SKILL_20150317_001155	Время исполнения 0.3 секунды
SKILL_20150317_001156	Spiritual Chain
SKILL_20150317_001157	Делится всеми полученными положительными эффектами между союзниками в связке.
SKILL_20150317_001158	Umbilical Cord
SKILL_20150317_001159	Делиться защитой и НР с выбранным союзником.
SKILL_20150317_001160	Физическая Защита passed #{CaptionRatio}#{nl} HP recovery passed #{CaptionRatio2}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001161	Swell Left Arm
SKILL_20150317_001162	Увеличивает левую руку при этом увеличивается показатель атаки.
SKILL_20150317_001163	Физическая атака +#{CaptionRatio}#{nl}Магическая атака #{CaptionRatio}#{nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001164	Shrink Body
SKILL_20150317_001165	Уменьшает размер цели.
SKILL_20150317_001166	Большой -> Средний -> Маленький {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001167	Swell Body
SKILL_20150317_001168	Увеличивает размер цели.
SKILL_20150317_001169	Маленький -> Средний -> Большой {nl}Длительность #{CaptionTime}# секунд
SKILL_20150317_001170	Transpose
SKILL_20150317_001171	Временно меняет местами базовые харрактеристики INT и CON.
SKILL_20150317_001172	Reversi
SKILL_20150317_001173	Меняет вражеский магический круг на земле на союзный.
SKILL_20150317_001174	Меняет вражеский магический круг на земле. {nl}Level 1 Master
SKILL_20150317_001175	Swell Right Arm
SKILL_20150317_001176	Увеличивает правую руку при этом увеличивается показатель атаки.
SKILL_20150317_001177	Swell Brain
SKILL_20150317_001178	Увеличение Головы
SKILL_20150317_001179	Electrocute
SKILL_20150317_001180	{#993399}{ol}[Магическая] - [Молния]{/}{/}{nl}Запускает во врагов Цепную Молнию наносящую урон.
SKILL_20150317_001181	Атака #{SkillAtkAdd}#{nl}Цель #{CaptionRatio}#
SKILL_20150317_001182	Stone Curse{nl}[Каменное Проклятие]
SKILL_20150317_001183	Проклинает цель превращая ее в камень.
SKILL_20150317_001184	Длительность #{CaptionTime}# секунд{nl}Всплеск #{CaptionRatio}#
SKILL_20150317_001185	Hail
SKILL_20150317_001186	{#993399}{ol}[Магическая] - [Лёд]{/}{/}{n}Призывает Град из осколков льда наносящих урон врагам.
SKILL_20150317_001187	Prominence
SKILL_20150317_001188	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl}Создает вокруг себя Протуберанцы. Протуберанцы хаотично движутся атакуя врагов.
SKILL_20150317_001189	Атака #{SkillAtkAdd}#{nl}Длительность 15 секунд
SKILL_20150317_001190	Meteor
SKILL_20150317_001191	{#993399}{ol}[Магическая] - [Огонь]{/}{/}{nl}Бросает метеор на указанную область нанося урон врагам.
SKILL_20150317_001192	Атака #{SkillAtkAdd}#{nl}Время Чтения #{CaptionTime}# секунд{nl}Всплеск #{SkillSR}#
SKILL_20150317_001193	Summoning{nl}[Призыв]
SKILL_20150317_001194	Призывает духов следующих за вами.
SKILL_20150317_001195	Атака Ground
SKILL_20150317_001196	Дух атакует всех врагов в указанной области.
SKILL_20150317_001197	Riding{nl}[Езда]
SKILL_20150317_001198	Езда на призванном духе.
SKILL_20150317_001199	Morph
SKILL_20150317_001200	Quicken
SKILL_20150317_001201	Повышает скорость передвижения 1 союзника.
SKILL_20150317_001202	Reincarnate
SKILL_20150317_001203	Убейте монстра с положительным эффектом, и монстр снова появится перед смертью.
SKILL_20150317_001204	{#6644FF}{ol}[Огонь]{/}{/}Attribute {nl} Атака #{SkillFactor}#% + #{SkillAtkAdd} per 0.5 секунд# damage {nl} Длительность 10 секунд {nl}Потребляет #{{nl} SpendSP}# SP
SKILL_20150317_001205	Stop
SKILL_20150317_001206	Удерживает монстров в указанном месте.Монстры прекращают все действия. 
SKILL_20150317_001207	Slow
SKILL_20150317_001208	Скорость передвижения -#{CaptionRatio}#%{nl}Замедление длится 5 секунд {nl}Потребляет #{SpendSP}# SP
SKILL_20150317_001209	Haste
SKILL_20150317_001210	Backmasking
SKILL_20150317_001211	Изменяет время в области активируя использовавшийся ранее навык.
SKILL_20150317_001212	Gather Corpse
SKILL_20150317_001213	Собирает части трупов врагов 
SKILL_20150317_001214	Создает Shoggoth
SKILL_20150317_001215	Использует части трупов для призыва Shoggoth
SKILL_20150317_001216	Flesh Cannon
SKILL_20150317_001217	Бросает части мертвых для атаки врагов на местности. 
SKILL_20150317_001218	Flesh Hoop
SKILL_20150317_001219	Окружите себя стеной из мертвых частей и наносит ущерб врагам в этом радиусе.
SKILL_20150317_001220	Dirty Wall
SKILL_20150317_001221	Disinter
SKILL_20150317_001222	Combustion
SKILL_20150317_001223	Magic Pavise
SKILL_20150317_001224	Dig
SKILL_20150317_001225	Roasting
SKILL_20150317_001226	Briquetting
SKILL_20150317_001227	Tincturing
SKILL_20150317_001228	Magnum Opus
SKILL_20150317_001229	Создает магический барьер блокирующий атаки врагов.
SKILL_20150317_001230	Ур.1 Длительность #{CaptionTime}# секунд, блокирует 6 ударов, целей #{CaptionRatio}# Ур.2 Длительность #{CaptionTime}# секунд, блокирует 6 ударов, целей #{CaptionRatio}# Ур.3 Длительность #{CaptionTime}# sсекунд, блокирует 6 ударов, целей #{CaptionRatio}#
SKILL_20150317_001231	Создает барьер из тумана перед собой. Точность врагов в тумане уменьшается.
SKILL_20150317_001232	Длительность #{CaptionTime}# секунд, Точность -#{CaptionRatio}#%{nl}Потребляет  #{SpendSP}# SP
SKILL_20150317_001233	Шокирует врагов под [Заморозка] поблизости и наносит урон.
